year,sex,age_group,flow,n
1995,female,25 - 44,outward,2900
1996,female,25 - 44,outward,3000
1997,female,25 - 44,outward,2200
1998,female,25 - 44,outward,2500
1999,female,25 - 44,outward,3000
2000,female,25 - 44,outward,2000
2001,female,25 - 44,outward,2000
2002,female,25 - 44,outward,1400
2003,female,25 - 44,outward,3100
2004,female,25 - 44,outward,3900
2005,female,25 - 44,outward,4500
2006,female,25 - 44,outward,6500
2007,female,25 - 44,outward,8400
2008,female,25 - 44,outward,9100
2009,female,25 - 44,outward,15500
2010,female,25 - 44,outward,13500
2011,female,25 - 44,outward,13300
2012,female,25 - 44,outward,15800
2013,female,25 - 44,outward,17900
2014,female,25 - 44,outward,17100
2015,female,25 - 44,outward,15800
2016,female,25 - 44,outward,17400
2017,female,25 - 44,outward,16400
2018,female,25 - 44,outward,14600
1987,female,25 - 44,inward,2700
1988,female,25 - 44,inward,3200
1989,female,25 - 44,inward,4700
1990,female,25 - 44,inward,5900
1991,female,25 - 44,inward,6500
1992,female,25 - 44,inward,7200
1993,female,25 - 44,inward,6600
1994,female,25 - 44,inward,5800
1995,female,25 - 44,inward,7100
1996,female,25 - 44,inward,8100
1997,female,25 - 44,inward,8600
1998,female,25 - 44,inward,8800
1999,female,25 - 44,inward,9900
2000,female,25 - 44,inward,10700
2001,female,25 - 44,inward,13200
2002,female,25 - 44,inward,17700
2003,female,25 - 44,inward,12700
2004,female,25 - 44,inward,12500
2005,female,25 - 44,inward,17500
2006,female,25 - 44,inward,23200
2007,female,25 - 44,inward,27700
2008,female,25 - 44,inward,20700
2009,female,25 - 44,inward,13400
2010,female,25 - 44,inward,8800
2011,female,25 - 44,inward,13300
2012,female,25 - 44,inward,13000
2013,female,25 - 44,inward,13100
2014,female,25 - 44,inward,16600
2015,female,25 - 44,inward,20600
2016,female,25 - 44,inward,21600
2017,female,25 - 44,inward,23000
2018,female,25 - 44,inward,22400
1987,male,45 - 64,outward,1000
1988,male,45 - 64,outward,1600
1989,male,45 - 64,outward,2200
1990,male,45 - 64,outward,1000
1991,male,45 - 64,outward,100
1992,male,45 - 64,outward,500
1993,male,45 - 64,outward,400
1994,male,45 - 64,outward,0
1995,male,45 - 64,outward,300
1996,male,45 - 64,outward,0
1997,male,45 - 64,outward,0
1998,male,45 - 64,outward,200
1999,male,45 - 64,outward,0
2000,male,45 - 64,outward,0
2001,male,45 - 64,outward,0
2002,male,45 - 64,outward,0
2003,male,45 - 64,outward,600
2004,male,45 - 64,outward,400
2005,male,45 - 64,outward,600
2006,male,45 - 64,outward,1200
2007,male,45 - 64,outward,2000
2008,male,45 - 64,outward,2200
2009,male,45 - 64,outward,1200
2010,male,45 - 64,outward,2400
2011,male,45 - 64,outward,3100
2012,male,45 - 64,outward,4100
2013,male,45 - 64,outward,3800
2014,male,45 - 64,outward,1900
2015,male,45 - 64,outward,2900
2016,male,45 - 64,outward,2200
2017,male,45 - 64,outward,3000
2018,male,45 - 64,outward,3700
1987,male,45 - 64,inward,1000
1988,male,45 - 64,inward,1100
1989,male,45 - 64,inward,800
1990,male,45 - 64,inward,1500
1991,male,45 - 64,inward,1400
1992,male,45 - 64,inward,2400
1993,male,45 - 64,inward,2000
1994,male,45 - 64,inward,1600
1995,male,45 - 64,inward,1300
1996,male,45 - 64,inward,2200
1997,male,45 - 64,inward,2700
1998,male,45 - 64,inward,2100
1999,male,45 - 64,inward,2500
2000,male,45 - 64,inward,2600
2001,male,45 - 64,inward,2500
2002,male,45 - 64,inward,2300
2003,male,45 - 64,inward,3400
2004,male,45 - 64,inward,2400
2005,male,45 - 64,inward,3700
2006,male,45 - 64,inward,3700
2007,male,45 - 64,inward,6000
2008,male,45 - 64,inward,4200
2009,male,45 - 64,inward,1600
2010,male,45 - 64,inward,800
2011,male,45 - 64,inward,2200
2012,male,45 - 64,inward,2100
2013,male,45 - 64,inward,2400
2014,male,45 - 64,inward,1400
2015,male,45 - 64,inward,2200
2016,male,45 - 64,inward,4000
2017,male,45 - 64,inward,4700
2018,male,45 - 64,inward,4200
1987,female,45 - 64,outward,700
1988,female,45 - 64,outward,1600
1989,female,45 - 64,outward,1500
1990,female,45 - 64,outward,900
1991,female,45 - 64,outward,300
1992,female,45 - 64,outward,700
1993,female,45 - 64,outward,800
1994,female,45 - 64,outward,600
1995,female,45 - 64,outward,500
1996,female,45 - 64,outward,700
1997,female,45 - 64,outward,0
1998,female,45 - 64,outward,0
1999,female,45 - 64,outward,300
2000,female,45 - 64,outward,100
2001,female,45 - 64,outward,0
2002,female,45 - 64,outward,100
2003,female,45 - 64,outward,700
2004,female,45 - 64,outward,1000
2005,female,45 - 64,outward,800
2006,female,45 - 64,outward,900
2007,female,45 - 64,outward,1100
2008,female,45 - 64,outward,600
2009,female,45 - 64,outward,1800
2010,female,45 - 64,outward,500
2011,female,45 - 64,outward,3100
2012,female,45 - 64,outward,2700
2013,female,45 - 64,outward,3800
2014,female,45 - 64,outward,1400
2015,female,45 - 64,outward,1400
2016,female,45 - 64,outward,2400
2017,female,45 - 64,outward,1400
2018,female,45 - 64,outward,4000
1987,female,45 - 64,inward,800
1988,female,45 - 64,inward,1000
1989,female,45 - 64,inward,1400
1990,female,45 - 64,inward,1200
1991,female,45 - 64,inward,1100
1992,female,45 - 64,inward,1700
1993,female,45 - 64,inward,1600
1994,female,45 - 64,inward,1400
1995,female,45 - 64,inward,1300
1996,female,45 - 64,inward,1300
1997,female,45 - 64,inward,2000
1998,female,45 - 64,inward,2200
1999,female,45 - 64,inward,1600
2000,female,45 - 64,inward,1400
2001,female,45 - 64,inward,1800
2002,female,45 - 64,inward,1900
2003,female,45 - 64,inward,1700
2004,female,45 - 64,inward,1800
2005,female,45 - 64,inward,2500
2006,female,45 - 64,inward,2400
2007,female,45 - 64,inward,4100
2008,female,45 - 64,inward,3000
2009,female,45 - 64,inward,1700
2010,female,45 - 64,inward,1300
2011,female,45 - 64,inward,2100
2012,female,45 - 64,inward,2400
2013,female,45 - 64,inward,2000
2014,female,45 - 64,inward,1800
2015,female,45 - 64,inward,2000
2016,female,45 - 64,inward,3100
2017,female,45 - 64,inward,3100
2018,female,45 - 64,inward,4000
1987,male,65 and over,outward,0
1988,male,65 and over,outward,0
1989,male,65 and over,outward,0
1990,male,65 and over,outward,0
1991,male,65 and over,outward,0
1992,male,65 and over,outward,0
1993,male,65 and over,outward,100
1994,male,65 and over,outward,0
1995,male,65 and over,outward,0
1996,male,65 and over,outward,0
1997,male,65 and over,outward,0
1998,male,65 and over,outward,0
1999,male,65 and over,outward,400
2000,male,65 and over,outward,300
2001,male,65 and over,outward,400
2002,male,65 and over,outward,800
2003,male,65 and over,outward,700
2004,male,65 and over,outward,0
2005,male,65 and over,outward,400
2006,male,65 and over,outward,800
2007,male,65 and over,outward,1500
2008,male,65 and over,outward,2000
2009,male,65 and over,outward,400
2010,male,65 and over,outward,500
2011,male,65 and over,outward,2400
2012,male,65 and over,outward,900
2013,male,65 and over,outward,800
2014,male,65 and over,outward,800
2015,male,65 and over,outward,800
2016,male,65 and over,outward,700
2017,male,65 and over,outward,800
2018,male,65 and over,outward,600
1987,male,65 and over,inward,500
1988,male,65 and over,inward,900
1989,male,65 and over,inward,1000
1990,male,65 and over,inward,800
1991,male,65 and over,inward,900
1992,male,65 and over,inward,800
1993,male,65 and over,inward,500
1994,male,65 and over,inward,400
1995,male,65 and over,inward,200
1996,male,65 and over,inward,600
1997,male,65 and over,inward,800
1998,male,65 and over,inward,900
1999,male,65 and over,inward,600
2000,male,65 and over,inward,600
2001,male,65 and over,inward,500
2002,male,65 and over,inward,300
2003,male,65 and over,inward,700
2004,male,65 and over,inward,300
2005,male,65 and over,inward,600
2006,male,65 and over,inward,700
2007,male,65 and over,inward,1700
2008,male,65 and over,inward,1700
2009,male,65 and over,inward,1400
2010,male,65 and over,inward,700
2011,male,65 and over,inward,700
2012,male,65 and over,inward,1600
2013,male,65 and over,inward,1500
2014,male,65 and over,inward,1600
2015,male,65 and over,inward,1700
2016,male,65 and over,inward,1100
2017,male,65 and over,inward,1100
2018,male,65 and over,inward,1700
1987,female,65 and over,outward,0
1988,female,65 and over,outward,0
1989,female,65 and over,outward,0
1990,female,65 and over,outward,0
1991,female,65 and over,outward,0
1992,female,65 and over,outward,200
1993,female,65 and over,outward,100
1994,female,65 and over,outward,0
1995,female,65 and over,outward,0
1996,female,65 and over,outward,0
1997,female,65 and over,outward,0
1998,female,65 and over,outward,0
1999,female,65 and over,outward,100
2000,female,65 and over,outward,300
2001,female,65 and over,outward,300
2002,female,65 and over,outward,400
2003,female,65 and over,outward,600
2004,female,65 and over,outward,400
2005,female,65 and over,outward,500
2006,female,65 and over,outward,900
2007,female,65 and over,outward,1000
2008,female,65 and over,outward,1000
2009,female,65 and over,outward,800
2010,female,65 and over,outward,600
2011,female,65 and over,outward,1000
2012,female,65 and over,outward,1200
2013,female,65 and over,outward,900
2014,female,65 and over,outward,1500
2015,female,65 and over,outward,700
2016,female,65 and over,outward,1000
2017,female,65 and over,outward,500
2018,female,65 and over,outward,900
1987,female,65 and over,inward,600
1988,female,65 and over,inward,500
1989,female,65 and over,inward,900
1990,female,65 and over,inward,500
1991,female,65 and over,inward,800
1992,female,65 and over,inward,600
1993,female,65 and over,inward,400
1994,female,65 and over,inward,400
1995,female,65 and over,inward,500
1996,female,65 and over,inward,600
1997,female,65 and over,inward,700
1998,female,65 and over,inward,900
1999,female,65 and over,inward,300
2000,female,65 and over,inward,600
2001,female,65 and over,inward,300
2002,female,65 and over,inward,500
2003,female,65 and over,inward,700
2004,female,65 and over,inward,400
2005,female,65 and over,inward,600
2006,female,65 and over,inward,700
2007,female,65 and over,inward,700
2008,female,65 and over,inward,1800
2009,female,65 and over,inward,900
2010,female,65 and over,inward,1100
2011,female,65 and over,inward,700
2012,female,65 and over,inward,1200
2013,female,65 and over,inward,1500
2014,female,65 and over,inward,1800
2015,female,65 and over,inward,1900
2016,female,65 and over,inward,1300
2017,female,65 and over,inward,1200
2018,female,65 and over,inward,1600
